Feature,kurtosis
f0,3.8059057465585466
f1,3.4844479714072856
f3,4.452568844739567
f4,4.543187492655304
f5,4.572523901493168
f8,6.495114265510367
f9,6.411394473190869
f10,6.544179474328432
f11,6.097320767056663
f12,5.875966539284198
f13,5.7913942643738
f15,3.9193216061016516
f18,4.241203428939751
f19,3.628040931899034
f20,4.945813463360841
f22,29.177830988403016
f23,6.238501399390492
f24,7.749385912938697
f27,46541.57644408297
f28,57031.09539806726
f33,411.6272987195216
f36,411.86584580356515
f37,5.081161018935125
f38,8.098274120933173
f39,11.802077063493687
f40,7.121789421176988
f41,8.056963352877966
f44,4.356154228060957
f45,4.354836007861739
f48,6.612990341868105
f49,6.486848852709361
f50,6.706815147472884
f51,6.575458026327462
f52,6.786415584310129
f53,6.7907244032840275
f54,6.6484689486346245
f55,6.554412850399688
f60,3.0737571788443976
f61,3.8821250431811123
f62,4.3431499982840265
f65,30076.662033631586
f68,411.74653812467056
f69,286103.3686530268
f70,6.310153899369613
f73,6.971409677962315
f74,8.169982692366595
f78,8.419303803339877
f79,34.91588902833679
f81,7.532395042372322
f82,8.446487238962309
f83,35.83613232301156
f86,34.95891864473706
f87,34.97848193628034
f91,253.4154367060803
f92,251.65085885990482
f95,18.84740920056967
f96,3573.985376433942
f100,4589.494399499225
f103,582.1404700528748
f104,587.6529221594523
f107,35.27380650553154
f108,954.6680127965599
f110,13.319931179190725
f118,3.976132100904203
f122,5.174497073479639
f129,3.8544276328634695
f130,3.4532562851209665
f132,4.556815924690791
f133,5.745916687442733
f134,83.32573169160932
f135,170.78323766097392
f136,67.85569998085471
f138,3.85442965217318
f139,694276.1189634973
f142,364016.2855597292
f143,407.84733878744686
f145,286464.11788848514
f146,405.1725848161724
f151,7.626895592295433
f152,7.555046567924753
f155,14.291672425575946
f156,5.115822225156059
f157,5.976343016352324
f158,24.74787007394054
f159,54.36546322410945
f160,11.271177180484143
f161,52.54683459795354
f162,482819.9745295424
f164,2718.9334537923105
f165,407.7303199450424
f174,7.776926100584829
f175,49471.75400961498
f176,49.59535859873392
f178,728047.0000013732
f179,503.9761206310883
f180,15.92062662812831
f182,8.18746707912709
f183,7.744968077392091
f184,15.921608878942692
f187,4.687944540668613
f188,613.3794030392803
f189,534.6551794507523
f192,440.2420191524897
f193,289224.6998268031
f196,112032.32074202191
f197,47161.624500030826
f200,422.6578526358206
f201,519.1572122941839
f205,1260.0905711421085
f206,1006.9579338068876
f208,6.512140530122807
f209,91.99192110444135
f214,6.982231097430589
f218,6.086391997871976
f220,7995.571553578133
f222,151.94950429111958
f228,5.692143929256616
f360,76632.05264462747
f361,14.17665457911669
f362,10.981616886268503
f363,33.7389239899844
f364,11.275999069666588
f365,1143.4424671240745
f366,1710.081855487715
f367,3119.6864003225555
f368,3119.687013663621
f369,1710.0818554604034
f370,1710.0818554691043
f371,3119.6870154135104
f372,3119.6870154135086
f373,3119.68701541351
f374,3119.687015413508
f375,3119.6870154135095
f376,3119.6870154135104
f377,3119.687015413509
f450,6.557630083997513
f451,6062.099959184905
f452,6.5576300839961945
f453,7.028215118212817
f454,6.5576300840010475
f455,6.55763008400003
f456,7.1213711955345875
f457,27.09931307789888
f458,42.08296060982816
f459,28.825785287319274
f460,6.570465011729079
f461,6.557630083996283
f462,6.557818580065904
